NO3_1F1,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,81_t1_z2,82_t1_z2,83_t1_z2,84_t1_z1,85_t1_z1,86_t1_z3,extr,87_t1_z3,88_t1_z3,empty,Std
B,Std,81_t1_z2,82_t1_z2,83_t1_z2,84_t1_z1,85_t1_z1,86_t1_z3,extr,87_t1_z3,88_t1_z3,empty,Std
C,Std,81_t1_z2,82_t1_z2,83_t1_z2,84_t1_z1,85_t1_z1,86_t1_z3,extr,87_t1_z3,88_t1_z3,empty,Std
D,Std,81_t1_z2,82_t1_z2,83_t1_z2,84_t1_z1,85_t1_z1,86_t1_z3,extr,87_t1_z3,88_t1_z3,empty,Std
E,Std,89_t1_z1,90_t1_z2,91_t1_z2,92_t1_z3,93_t1_z1,94_t1_z1,extr,95_t1_z1,96_t1_z1,empty,Std
F,Std,89_t1_z1,90_t1_z2,91_t1_z2,92_t1_z3,93_t1_z1,94_t1_z1,extr,95_t1_z1,96_t1_z1,empty,Std
G,Std,89_t1_z1,90_t1_z2,91_t1_z2,92_t1_z3,93_t1_z1,94_t1_z1,extr,95_t1_z1,96_t1_z1,empty,Std
H,Std,89_t1_z1,90_t1_z2,91_t1_z2,92_t1_z3,93_t1_z1,94_t1_z1,extr,95_t1_z1,96_t1_z1,empty,Std
NO3_1F2,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,97_t1_z1,98_t1_z1,99_t1_z1,100_t1_z1,101_t1_z3,102_t1_z3,extr,103_t1_z1,104_t1_z1,empty,Std
B,Std,97_t1_z1,98_t1_z1,99_t1_z1,100_t1_z1,101_t1_z3,102_t1_z3,extr,103_t1_z1,104_t1_z1,empty,Std
C,Std,97_t1_z1,98_t1_z1,99_t1_z1,100_t1_z1,101_t1_z3,102_t1_z3,extr,103_t1_z1,104_t1_z1,empty,Std
D,Std,97_t1_z1,98_t1_z1,99_t1_z1,100_t1_z1,101_t1_z3,102_t1_z3,extr,103_t1_z1,104_t1_z1,empty,Std
E,Std,empty,empty,empty,empty,empty,empty,extr,empty,empty,empty,Std
F,Std,empty,empty,empty,empty,empty,empty,extr,empty,empty,empty,Std
G,Std,empty,empty,empty,empty,empty,empty,extr,empty,empty,empty,Std
H,Std,empty,empty,empty,empty,empty,empty,extr,empty,empty,empty,Std
NO3_1F3,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,89_t1_z3,90_t1_z3,91_t1_z1,92_t1_z2,93_t1_z2,94_t1_z3,extr,95_t1_z2,96_t1_z3,empty,Std
B,Std,89_t1_z3,90_t1_z3,91_t1_z1,92_t1_z2,93_t1_z2,94_t1_z3,extr,95_t1_z2,96_t1_z3,empty,Std
C,Std,89_t1_z3,90_t1_z3,91_t1_z1,92_t1_z2,93_t1_z2,94_t1_z3,extr,95_t1_z2,96_t1_z3,empty,Std
D,Std,89_t1_z3,90_t1_z3,91_t1_z1,92_t1_z2,93_t1_z2,94_t1_z3,extr,95_t1_z2,96_t1_z3,empty,Std
E,Std,97_t1_z2,98_t1_z2,99_t1_z3,100_t1_z3,101_t1_z1,102_t1_z2,extr,103_t1_z2,104_t1_z2,84_t1_z3,Std
F,Std,97_t1_z2,98_t1_z2,99_t1_z3,100_t1_z3,101_t1_z1,102_t1_z2,extr,103_t1_z2,104_t1_z2,84_t1_z3,Std
G,Std,97_t1_z2,98_t1_z2,99_t1_z3,100_t1_z3,101_t1_z1,102_t1_z2,extr,103_t1_z2,104_t1_z2,84_t1_z3,Std
H,Std,97_t1_z2,98_t1_z2,99_t1_z3,100_t1_z3,101_t1_z1,102_t1_z2,extr,103_t1_z2,104_t1_z2,84_t1_z3,Std
NO3_1F4,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,81_t1_z1,82_t1_z3,83_t1_z3,84_t1_z2,85_t1_z2,86_t1_z1,extr,87_t1_z1,88_t1_z1,empty,Std
B,Std,81_t1_z1,82_t1_z3,83_t1_z3,84_t1_z2,85_t1_z2,86_t1_z1,extr,87_t1_z1,88_t1_z1,empty,Std
C,Std,81_t1_z1,82_t1_z3,83_t1_z3,84_t1_z2,85_t1_z2,86_t1_z1,extr,87_t1_z1,88_t1_z1,empty,Std
D,Std,81_t1_z1,82_t1_z3,83_t1_z3,84_t1_z2,85_t1_z2,86_t1_z1,extr,87_t1_z1,88_t1_z1,empty,Std
E,Std,89_t1_z2,90_t1_z1,81_t1_z3,92_t1_z1,93_t1_z3,94_t1_z2,extr,95_t1_z3,96_t1_z2,empty,Std
F,Std,89_t1_z2,90_t1_z1,81_t1_z3,92_t1_z1,93_t1_z3,94_t1_z2,extr,95_t1_z3,96_t1_z2,empty,Std
G,Std,89_t1_z2,90_t1_z1,81_t1_z3,92_t1_z1,93_t1_z3,94_t1_z2,extr,95_t1_z3,96_t1_z2,empty,Std
H,Std,89_t1_z2,90_t1_z1,81_t1_z3,92_t1_z1,93_t1_z3,94_t1_z2,extr,95_t1_z3,96_t1_z2,empty,Std
NO3_1F5,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,Std_3_t1,98_t1_z3,99_t1_z3_bis,100_t1_z2,101_t1_z2,102_t1_z1,extr,103_t1_z3,104_t1_z3,Std_3_t1_2,Std
B,Std,Std_3_t1,98_t1_z3,99_t1_z3_bis,100_t1_z2,101_t1_z2,102_t1_z1,extr,103_t1_z3,104_t1_z3,Std_3_t1_2,Std
C,Std,Std_3_t1,98_t1_z3,99_t1_z3_bis,100_t1_z2,101_t1_z2,102_t1_z1,extr,103_t1_z3,104_t1_z3,Std_3_t1_2,Std
D,Std,Std_3_t1,98_t1_z3,99_t1_z3_bis,100_t1_z2,101_t1_z2,102_t1_z1,extr,103_t1_z3,104_t1_z3,Std_3_t1_2,Std
E,Std,empty,empty,empty,empty,empty,empty,extr,empty,empty,empty,Std
F,Std,empty,empty,empty,empty,empty,empty,extr,empty,empty,empty,Std
G,Std,empty,empty,empty,empty,empty,empty,extr,empty,empty,empty,Std
H,Std,empty,empty,empty,empty,empty,empty,extr,empty,empty,empty,Std